[00:00 - 00:03] はいではゲスト号司によるこの後特別講義に入ります
[55:26 - 55:27] 皆さんもすぐに
[55:27 - 55:29] 真似できることを
[55:29 - 55:31] ぜひお話できればなと思って
[55:31 - 55:32] 皆さんは
[55:32 - 55:33] 両手こうやって
[55:33 - 55:34] 前に出してもらって
[55:34 - 55:36] 出してもらって
[55:36 - 55:39] この動画を見るときに
[55:39 - 55:41] 自分の視線を
[55:41 - 55:42] 上と下を見ると
[55:42 - 55:43] 自分の視線を
[55:43 - 55:44] 見ると
[55:44 - 55:45] 自分の視線を
[55:45 - 55:46] 上と下をこうやって
[55:46 - 55:47] 隠してください
[55:47 - 55:48] こことここ
[55:49 - 55:50] この辺
[55:50 - 55:52] ここと上と下を隠して
[55:53 - 55:54] その状態で
[55:54 - 55:56] そのまま見てください
[56:01 - 56:02] 何が言いたいかというと
[56:02 - 56:03] こことここがなくても
[56:03 - 56:04] 成立する動画を作ったら
[56:04 - 56:05] 伸びますよ
[56:05 - 56:06] っていうことなんですけど
[56:06 - 56:07] 先にやっておくと
[56:12 - 56:13] 全部ここに
[56:13 - 56:15] 動きがあるのがわかりますか
[56:16 - 56:17] もう一回いくと
[56:17 - 56:18] ここ
[56:18 - 56:19] ここ
[56:19 - 56:20] ここ
[56:20 - 56:21] ここ
[56:21 - 56:22] ここ
[56:22 - 56:23] ここ
[56:25 - 56:26] ここ
[56:26 - 56:27] ここ
[56:27 - 56:28] ここ
[56:28 - 56:29] ここ
[56:29 - 56:30] ここ
[56:30 - 56:31] ここ
[56:33 - 56:34] ここ
[56:34 - 56:35] ここ
[56:35 - 56:37] って感じで
[56:39 - 56:41] 視線が固定されてれば
[56:41 - 56:42] 動画はまず
[56:42 - 56:43] ファーストステップとして
[56:43 - 56:44] 伸びますと
[56:44 - 56:45] なので
[56:45 - 56:46] 難しいことは考えず
[56:47 - 56:48] 動画で
[56:48 - 56:49] 目線を固定させる
[56:49 - 56:50] ってことだけを
[56:50 - 56:51] 意識すれば
[56:51 - 56:52] 一旦伸びるので
[56:53 - 56:54] ぜひ
[56:54 - 56:55] やってみていただければな
[56:55 - 56:56] っていうオーガニックで
[56:56 - 56:57] まあ
[56:57 - 56:59] だいぶ当たってる
[57:01 - 57:03] 要素として
[57:13 - 57:14] これ僕の知事がやってて
[57:14 - 57:16] 全然なんか動画が伸びなくて
[57:16 - 57:17] みたいな感じで
[57:17 - 57:19] すごい困ってたので
[57:20 - 57:21] 今のアドバイスを
[57:21 - 57:22] 1分しただけで
[57:22 - 57:24] 21万再生いっちゃって
[57:25 - 57:26] その前は
[57:26 - 57:27] 目線が
[57:27 - 57:28] ブレてたんですよ
[57:32 - 57:33] ブレてるのがどんな
[57:33 - 57:34] なんか
[57:34 - 57:36] この間だけ見てても
[57:36 - 57:37] 多分
[57:37 - 57:38] わかんない
[57:38 - 57:39] あ、できてるかな
[57:40 - 57:41] 今のとかも
[57:41 - 57:42] どこ見たらいいか
[57:42 - 57:43] わかんないんですよ
[57:43 - 57:44] これとか
[57:44 - 57:46] こことこことここと
[57:46 - 57:48] ここを見る場所あるじゃないですか
[57:48 - 57:49] この視点でリラッツ?
[57:52 - 57:53] こことこことここが
[57:53 - 57:54] ある視点で終わり
[58:01 - 58:02] こことこことここと
[58:02 - 58:03] こことここが
[58:03 - 58:04] ある視点でもうダメ
[58:04 - 58:05] みたいな感じで
[58:05 - 58:07] 伸びてない動画って
[58:07 - 58:09] 全てがこれが理由なので
[58:10 - 58:12] ぜひなんか伸びてない動画
[58:12 - 58:14] がなんでなんだろうっていう
[58:14 - 58:16] その伸びる動画がこうじゃなくて
[58:16 - 58:18] 伸びない動画がこうっていうのを
[58:18 - 58:19] 言語ができると
[58:19 - 58:20] 広告のクリエイティブ
[58:20 - 58:21] クリエイティブ作るのに
[58:21 - 58:22] めちゃくちゃ楽になるので
[58:24 - 58:26] で改善したら
[58:26 - 58:27] ここだけ見てれば
[58:27 - 58:28] いけるんですよ
[58:28 - 58:29] だいたい
[58:33 - 58:34] この真ん中
[58:34 - 58:36] ここだけ見てればいいし
[58:36 - 58:38] ここだけ見てればいいし
[58:38 - 58:39] ここだけ見てればいいし
[58:39 - 58:40] ここだけ見てればいいし
[58:40 - 58:42] ここだけ見てればいいし
[58:42 - 58:44] これも真ん中だし
[58:44 - 58:45] 真ん中だし
[58:45 - 58:47] 真ん中が動いてるし
[58:47 - 58:49] っていう風にすれば伸びる
[58:49 - 58:50] みたいな
[58:54 - 58:55] 感じなので
[58:55 - 58:56] ぜひ店舗の方も
[58:56 - 58:58] 今日たくさんいらっしゃる
[58:58 - 58:59] ってことだったので
[58:59 - 59:00] 店舗の動画を撮る
[59:00 - 59:02] 店舗のクリエイティブと
[59:02 - 59:03] 撮るってなったときは
[59:03 - 59:04] 視線を固定する
[59:04 - 59:05] っていうのだけを
[59:05 - 59:06] 一旦それだけあれば
[59:06 - 59:07] 絶対に当たるので
[59:09 - 59:11] ぜひやってみてほしいなと
[59:11 - 59:12] 多分見返して
[59:12 - 59:13] 伸びてない方は
[59:13 - 59:15] 多分視線がずれてるはず
[59:18 - 59:20] なんかそんな気がするんですけど
[59:20 - 59:21] 多分
[59:23 - 59:24] これだけ意識する
[59:24 - 59:25] これ
[59:25 - 59:26] 何だっけ
[59:26 - 59:27] 松竹の日常だっけ
[59:27 - 59:28] がすごい
[59:28 - 59:29] ずっと言ってるんですよ
[59:29 - 59:30] あのね
[59:30 - 59:31] そう
[59:31 - 59:32] なんですけど
[59:32 - 59:34] 2秒
[59:34 - 59:35] そうですね
[59:35 - 59:36] 固定させる
[59:36 - 59:38] 固定させる
[59:38 - 59:39] ことをしないと
[59:39 - 59:40] 絶対に
[59:40 - 59:41] 伸びないって
[59:45 - 59:47] ちょっとそんな話が
[59:47 - 59:48] あったりとかして
[59:48 - 59:49] なので
[59:49 - 59:50] ここまでの話をまとめると
[59:50 - 59:51] プロフィールちゃんと
[59:51 - 59:52] 構築しましょう
[59:52 - 59:54] 見せるように
[59:54 - 59:55] 見せるように
[59:55 - 59:56] 伸びて
[59:56 - 59:57] ここで
[59:57 - 59:58] 伸びて
[59:58 - 59:59] ちょっと
[59:59 - 60:00] 見せるように
[60:00 - 60:01] しましょう
[60:01 - 60:02] っていうところ
[60:02 - 60:03] もちろんそうなんですけど
[60:03 - 60:05] 経営的な観点でいくと
[60:05 - 60:06] 動画のクオリティを
[60:06 - 60:07] 上げておく
[60:07 - 60:08] っていうのは
[60:08 - 60:09] そういう
[60:09 - 60:10] 風な人を
[60:10 - 60:11] 広告業界に
[60:11 - 60:12] 引っ張ってきてあげる
[60:12 - 60:14] アダプトをしてあげると
[60:14 - 60:15] 意外とあったりするよ
[60:15 - 60:16] みたいなところと
[60:16 - 60:18] その伸びる動画を
[60:18 - 60:20] 自分で作れってなったときに
[60:20 - 60:21] 何をしなきゃいけないか
[60:21 - 60:22] オーガニックで
[60:22 - 60:23] 当たる動画って何なのか
[60:23 - 60:24] っていうところの
[60:24 - 60:25] たった人との条件は
[60:25 - 60:26] 目線を揃えることですよ
[60:26 - 60:27] っていうところ
[60:27 - 60:28] 今覚えていただければな
[60:28 - 60:29] というふうに思ってます
[60:31 - 60:32] ということで
[60:32 - 60:34] フォロワー運用やろうぜへん
[60:34 - 60:35] っていうところで
[60:35 - 60:36] リスト運用だけじゃなくて
[60:36 - 60:38] フォロワー運用もしていきましょう
[60:38 - 60:39] っていうところを
[60:39 - 60:40] ちょっと話していければ
[60:40 - 60:41] というふうに思ってます
[60:41 - 60:42] じゃあ
[60:42 - 60:43] 今日のテーマは
[60:43 - 60:44] っていうところで
[60:44 - 60:45] 2つ
[60:45 - 60:46] 挙げさせていただいてた
[60:46 - 60:47] ところがあったと思います
[60:47 - 60:48] 初期構築をして
[60:48 - 60:49] タナボタで
[60:49 - 60:50] フォロワー増やす
[60:50 - 60:51] っていうところ
[60:51 - 60:52] 結構改造度上がってきたん
[60:52 - 60:53] じゃないかな
[60:53 - 60:55] っていうふうに思います
[60:55 - 60:56] ちゃんと構築をしておいて
[60:56 - 60:58] ちゃんと1個のところに
[60:58 - 60:59] 集中させて
[60:59 - 61:00] ここを見させよう
[61:00 - 61:01] みたいなのをして
[61:01 - 61:02] あとは
[61:02 - 61:03] 動画も
[61:03 - 61:04] 視線固定をして
[61:04 - 61:05] というところで
[61:05 - 61:06] やること結構
[61:06 - 61:07] 明確になってきたんじゃないかな
[61:07 - 61:08] というふうに思うんですけど
[61:08 - 61:09] じゃあ次に
[61:09 - 61:10] 接触
[61:10 - 61:12] フォロワーに対して
[61:12 - 61:13] ちゃんと
[61:13 - 61:14] ストーリーをあげていく
[61:14 - 61:15] ということによって
[61:15 - 61:16] 顧客を引き上げようね
[61:16 - 61:17] っていうところ
[61:17 - 61:18] これのやり方
[61:18 - 61:20] 次にお話していければな
[61:20 - 61:21] というふうに思ってます
[61:27 - 61:28] ということで
[61:28 - 61:29] ここに書いてあるように
[61:29 - 61:31] ちょっと答えが見えちゃったんですけど
[61:31 - 61:32] すでに皆さんは
[61:32 - 61:33] 最強のプロフィールを
[61:33 - 61:34] 手に入れた
[61:34 - 61:35] っていう状態になりますと
[61:35 - 61:36] 初めましての人に
[61:36 - 61:37] ぶっ刺さる
[61:37 - 61:38] ものができましたと
[61:38 - 61:39] なので
[61:39 - 61:40] すでにこっちなら
[61:40 - 61:42] 投稿しなくてOKなんですね
[61:42 - 61:43] 皆さん結構
[61:43 - 61:44] インスタの運用で
[61:44 - 61:47] 面倒くさいと思ってしまう原因
[61:47 - 61:48] っていうのが
[61:48 - 61:49] なんか投稿を
[61:49 - 61:50] 継続しなきゃいけないな
[61:50 - 61:51] とか
[61:51 - 61:53] 毎日ストーリーあげなきゃいけない
[61:53 - 61:54] とか
[61:54 - 61:55] そういうの無理だから
[61:55 - 61:57] メタ広告やろうかなとか
[61:57 - 61:58] そういうの無理だから
[61:58 - 61:59] インスタ運用も
[61:59 - 62:00] 諦めちゃおう
[62:00 - 62:01] っていうふうになっている
[62:01 - 62:03] 方がすごい多いなと思うんですけど
[62:03 - 62:05] その概念がもう
[62:05 - 62:06] 違うっていうのが
[62:06 - 62:07] なんとなく
[62:07 - 62:09] イメージがついてきたんじゃないかな
[62:09 - 62:10] というふうに思うんですけど
[62:10 - 62:12] まず構築しちゃって
[62:12 - 62:13] そしたらもう
[62:13 - 62:15] 投稿は取り外しなくてOK
[62:16 - 62:17] で
[62:17 - 62:18] あとやるのは
[62:18 - 62:19] ストーリーだけ
[62:19 - 62:20] っていう状態になるので
[62:20 - 62:21] じゃあストーリーだけ
[62:21 - 62:22] だとしても
[62:22 - 62:24] 楽にできるような話が
[62:24 - 62:25] あるといいよね
[62:25 - 62:26] っていう話です
[62:29 - 62:31] でなんで投稿しなくていいのか
[62:31 - 62:32] っていう理由はもう明白で
[62:32 - 62:33] 広告も
[62:33 - 62:35] 回してるじゃんっていうところで
[62:35 - 62:36] なんで
[62:36 - 62:38] 投稿しなきゃいけないのかっていう理由から
[62:38 - 62:40] 紐解けば分かるんですけど
[62:40 - 62:42] 投稿しなきゃいけない理由って
[62:42 - 62:46] プロフィルへの流入を最大化しなきゃいけないから
[62:46 - 62:47] 投稿を作る
[62:47 - 62:49] 毎日作っていこうねとか
[62:49 - 62:51] 投稿を増やしておこうねっていう
[62:51 - 62:53] 目的意識のわけで
[62:53 - 62:55] ってことは広告を回してるなら
[62:55 - 62:57] その目的が果たせてるから
[62:57 - 62:58] 不要なんですね
[62:59 - 63:00] っていう感じで結構
[63:00 - 63:01] インスタを分解してみて
[63:01 - 63:02] 本質見てみると
[63:02 - 63:05] 意外と投稿いらないっていう感じ
[63:08 - 63:09] ということで結論は
[63:09 - 63:10] もう
[63:10 - 63:11] 今までの話を
[63:11 - 63:12] 全部とりあえずできたら
[63:12 - 63:14] あとはストーリーだけ
[63:14 - 63:15] ストーリーをやるだけ
[63:15 - 63:17] で取り外しを防げますよ
[63:17 - 63:18] っていうところになりますと
[63:18 - 63:20] なのでこのたった一つ
[63:20 - 63:23] ストーリーだけをきっつき詰めるだけで
[63:23 - 63:25] インスタグラム集客っていうのが
[63:25 - 63:26] 完成する
[63:26 - 63:28] それが皆さんがメタ広告を
[63:28 - 63:30] やってることによって
[63:30 - 63:32] ストーリー以外はやらなくてもよくなる
[63:32 - 63:34] 他は全て捨てられるっていうのが
[63:34 - 63:35] めちゃくちゃいいところですよ
[63:35 - 63:36] っていう感じです
[63:43 - 63:47] じゃあ実際の事例を見ていくということで
[63:51 - 63:52] よいしょ
[63:58 - 64:00] どれからいこうかな
[64:05 - 64:07] 無形という形
[64:07 - 64:08] つまり天法で
[64:08 - 64:09] ちょっとだけありった形が
[64:09 - 64:12] うかなという風に思っていて
[64:14 - 64:16] まず無形からいくと
[64:16 - 64:18] まずこの二つ
[64:18 - 64:20] 僕が基本的に自社の集客
[64:20 - 64:22] 自社のインスタの集客
[64:22 - 64:24] もちろんローンチ支援とかも
[64:24 - 64:26] たくさんやらせていただいてるんですけど
[64:27 - 64:29] 公開できる自社の集客の
[64:29 - 64:31] やってるやつっていうのが
[64:31 - 64:33] 今この二つになってますと
[64:34 - 64:36] このごましおわかっていうのが
[64:36 - 64:39] 弊社の副代表がやってまして
[64:40 - 64:42] 長野県さっきの長野のっていうので
[64:42 - 64:44] 長野県で10万人頬はいるから
[64:44 - 64:46] 僕みたいに
[64:46 - 64:48] 地方創生のアカウントやりませんか
[64:48 - 64:50] っていう訴求をしてる
[64:51 - 64:53] でこっちがフォロワーが今
[64:53 - 64:55] 2.5万人ぐらい
[64:55 - 64:57] ナスエリアでいるっていうところで
[64:57 - 64:59] 私みたいに発信してみませんか
[64:59 - 65:01] っていうアカウントですと
[65:01 - 65:03] でこの両方は年間
[65:03 - 65:06] まだ50万円も広告かけてないんですけど
[65:06 - 65:08] このごましおわかからは
[65:08 - 65:10] 今年の売り上げ
[65:10 - 65:12] 今年4月から?
[65:12 - 65:13] 今季
[65:13 - 65:14] 今季の売り上げで
[65:14 - 65:16] 一応1,500万くらい
[65:16 - 65:17] ある
[65:18 - 65:19] ので
[65:19 - 65:20] 何人だ?
[65:20 - 65:22] 50万円が
[65:24 - 65:26] 8500割る
[65:26 - 65:28] 30人ですね
[65:28 - 65:30] なんでここから
[65:32 - 65:34] ほんとにほぼ広告かけずに
[65:34 - 65:36] 来てるみたいな感じ
[65:36 - 65:37] 本当は
[65:37 - 65:38] なんだろう
[65:38 - 65:40] JVしてるところはもっと
[65:40 - 65:42] 広告かけて証拠はしてるんですけど
[65:42 - 65:44] 僕の会社のこの商品だけは
[65:44 - 65:46] ロイヤリティの高い人以外は
[65:46 - 65:47] 入れたくないので
[65:47 - 65:49] 広告期をあげずにやってるんですけど
[65:49 - 65:51] って感じで
[65:52 - 65:53] あったりとか
[65:54 - 65:56] こっちはもともとフォロワーがいたので
[65:56 - 65:58] そりゃそうだろうみたいに言われたら
[65:58 - 65:59] もしかしたら
[65:59 - 66:01] そうかなっていう風に
[66:01 - 66:02] 思っちゃうんですけど
[66:02 - 66:04] こっちはほんとにフォロワー0から
[66:04 - 66:06] 広告期50万円しか使ってない
[66:06 - 66:08] なんなら35万とかだと思うんですけど
[66:08 - 66:10] っていう状態で
[66:10 - 66:12] 800万くらいだったかな
[66:12 - 66:14] 800万から1000万くらい確か出てる
[66:14 - 66:16] 何人だっけ
[66:16 - 66:18] 50人だから
[66:18 - 66:20] 50人20人だから
[66:20 - 66:22] なんならもっと出てますね
[66:22 - 66:24] 1300-1400くらい出てるんですけど
[66:26 - 66:28] なのでロアスナンパーザーみたいな話で
[66:28 - 66:29] ほんとに
[66:29 - 66:31] やってるのはさっきも
[66:31 - 66:32] お話したように
[66:32 - 66:34] 投稿は1個と2個
[66:34 - 66:35] もうこの2つ
[66:35 - 66:37] 2つくらいしか作ってない
[66:37 - 66:38] し
[66:38 - 66:39] 広告かけてるのも
[66:39 - 66:41] 6パターンしかかけてないんですけど
[66:42 - 66:44] っていう風にしてる中で
[66:44 - 66:46] とりあえず一旦フォロワーにする
[66:46 - 66:48] またはラインに入れる
[66:48 - 66:49] っていうところを
[66:49 - 66:51] LPからラインに入れるっていうところをして
[66:51 - 66:53] そこからストーリーで
[66:53 - 66:55] 教育をするだけみたいな感じで
[66:55 - 66:56] やってます
[66:56 - 66:58] 僕がやってるやり方っていうのが
[66:58 - 67:00] ストーリーロンチーっていうやり方で
[67:00 - 67:02] もちろん皆さんインスターだったりとか
[67:02 - 67:04] 何々見たことあると思うので
[67:04 - 67:06] ストーリーロンチーっていう存在自体は
[67:06 - 67:08] おそらく知ってるんじゃないかな
[67:08 - 67:09] という風に思ってて
[67:09 - 67:11] どんな話なのかというと
[67:11 - 67:13] 例えば30日間企画立てして
[67:14 - 67:16] じゃあ来月の1日に
[67:17 - 67:18] 何だろうな
[67:18 - 67:20] セミナーやりますみたいな感じで
[67:20 - 67:21] そのセミナーに
[67:21 - 67:22] 来てください
[67:22 - 67:23] っていうのを
[67:23 - 67:24] 30日間足球して
[67:24 - 67:25] そのセミナーの
[67:25 - 67:27] 参加者を最大化して
[67:27 - 67:28] そこでロンチをして
[67:28 - 67:29] 入会者をぶつのる
[67:29 - 67:31] みたいな形の
[67:31 - 67:33] やり方だと思うんですけど
[67:33 - 67:35] そんなことを
[67:35 - 67:37] このアカウントはやってます
[67:37 - 67:39] なので一旦フォローさせて
[67:39 - 67:40] ロンチして
[67:41 - 67:42] ラインでも同じように
[67:42 - 67:43] ステップ組んで
[67:43 - 67:44] ロンチして
[67:44 - 67:45] それを
[67:45 - 67:47] セミナー来てもらって
[67:47 - 67:49] 制約に結びつけるみたいな
[67:49 - 67:51] そんな感じのことやってます
[67:52 - 67:54] 僕はLPからよりも
[67:54 - 67:55] 何なら
[67:55 - 67:57] ストーリーからの方が
[67:58 - 67:59] 何だろう
[67:59 - 68:00] 制約率も高くて
[68:00 - 68:02] 数字もめちゃくちゃいいんですけど
[68:07 - 68:08] 今日の話は
[68:08 - 68:10] さっき参考にならないか
[68:14 - 68:15] そうそんな感じの
[68:15 - 68:17] アカウントをやってますと
[68:17 - 68:18] このアカウントの
[68:18 - 68:19] 昨日面の説明は
[68:19 - 68:20] そんな感じになるので
[68:20 - 68:21] 後で
[68:21 - 68:22] ロンチの時に
[68:22 - 68:23] 何をストーリーに
[68:23 - 68:24] 載せたかっていう
[68:24 - 68:25] データを
[68:25 - 68:26] ちょっと渡すので
[68:26 - 68:27] ぜひ後で
[68:27 - 68:28] 見ていただければなという風に
[68:28 - 68:29] 思ってます
[68:30 - 68:31] 次こっち
[68:31 - 68:33] ごましようアカウントっていう方で
[68:33 - 68:34] このごましようアカウントも
[68:34 - 68:36] フォロワーはいるっちゃいるんですけど
[68:36 - 68:38] 言っても大体フォロワー死んでて
[68:38 - 68:40] 広告集客しないと
[68:40 - 68:41] 全然
[68:41 - 68:42] 絶対に
[68:42 - 68:43] 集客はできない
[68:43 - 68:44] みたいな感じ
[68:44 - 68:45] なんですけど
[68:45 - 68:46] 一旦認知広告
[68:46 - 68:47] っていうところで
[68:49 - 68:51] この地方創生仕事に
[68:51 - 68:52] するってどういうこと
[68:52 - 68:53] みたいなのとか
[68:54 - 68:55] こういう風に
[68:55 - 68:56] 地方創生してきたよ
[68:56 - 68:57] みたいな広告を
[68:57 - 68:59] 回してフォロワー化して
[68:59 - 69:00] または
[69:00 - 69:01] ラインに飛ばして
[69:01 - 69:02] そこから
[69:04 - 69:05] セミナーをして
[69:05 - 69:07] 打ってるみたいな感じ
[69:07 - 69:08] になります
[69:08 - 69:09] これも
[69:09 - 69:10] セミナーの時に
[69:10 - 69:11] 使ってるデータがあるので
[69:11 - 69:12] ぜひ後で
[69:12 - 69:13] 見ていただいて
[69:13 - 69:14] それを使って
[69:14 - 69:15] いただければなという感じ
[69:15 - 69:16] それが
[69:16 - 69:17] 無形の
[69:17 - 69:19] ストーリー運用みたいな感じで
[69:19 - 69:21] 両方50万円以下の広告なので
[69:21 - 69:23] ロアスでいくと何パーだ
[69:23 - 69:24] 2000とか
[69:24 - 69:25] もっと上
[69:25 - 69:26] みたいな感じ
[69:26 - 69:27] になってる
[69:27 - 69:28] みたいな感じです
[69:28 - 69:29] なので
[69:29 - 69:31] ストーリー運用をするだけで
[69:31 - 69:32] その
[69:32 - 69:33] 界隈のロアス
[69:33 - 69:34] みたいなのを
[69:34 - 69:35] 僕はもう
[69:35 - 69:36] 破壊してるというか
[69:36 - 69:38] ラインだけじゃなくて
[69:38 - 69:39] ストーリーもやってるから
[69:39 - 69:40] 2倍になるよ
[69:40 - 69:41] みたいな感じのことを
[69:41 - 69:42] やってます
[69:45 - 69:46] で
[69:46 - 69:47] 店舗に関しては
[69:47 - 69:48] ローンチーっていうのは
[69:48 - 69:49] あんまり
[69:50 - 69:51] 有効じゃないかな
[69:51 - 69:52] という風に
[69:52 - 69:53] 思ってます
[69:53 - 69:54] やっぱり
[69:54 - 69:55] なんだろうな
[69:55 - 69:56] さっきの
[69:56 - 69:57] バスタープとかだったら
[69:57 - 69:59] セミナーでとかで
[69:59 - 70:00] 一気に
[70:00 - 70:01] バーンって集めて
[70:01 - 70:02] みたいなのは
[70:02 - 70:03] 結構できるんじゃないかな
[70:03 - 70:04] と思うんですけど
[70:04 - 70:05] 聖誕員とか
[70:06 - 70:07] やられてる方がいる
[70:07 - 70:08] ってお話聞いてるので
[70:08 - 70:09] そういうのだったり
[70:09 - 70:10] 事務だったりとかは
[70:10 - 70:11] 定常的に
[70:11 - 70:12] 集客しなきゃいけないので
[70:12 - 70:13] そういうところは
[70:13 - 70:14] そんなに
[70:14 - 70:15] 向いてない
[70:15 - 70:16] ローンチー
[70:16 - 70:17] 自体が向いてないかな
[70:17 - 70:18] という風に思います
[70:18 - 70:19] なので
[70:19 - 70:20] その場合は
[70:20 - 70:21] テンプレートを
[70:21 - 70:22] とりあえず
[70:22 - 70:23] なんか
[70:23 - 70:24] 上げておく
[70:24 - 70:25] みたいな感じにすると
[70:25 - 70:26] いいと思うので
[70:26 - 70:28] それをぜひ
[70:28 - 70:29] やっていただければな
[70:29 - 70:30] という風に
[70:30 - 70:31] 思ってます
[70:31 - 70:32] という感じです
[70:36 - 70:37] じゃあ
[70:37 - 70:38] 先ほどあったように
[70:40 - 70:41] 今話してるように
[70:42 - 70:44] テンプレートだったりとか
[70:44 - 70:45] この
[70:45 - 70:46] ストーリーの
[70:46 - 70:47] データがあるので
[70:47 - 70:48] 見てもらいたいです
[70:48 - 70:49] みたいな
[70:49 - 70:50] 話させていただいた
[70:50 - 70:51] と思うんですけど
[70:51 - 70:52] 僕は
[70:52 - 70:53] 今のAI時代
[70:54 - 70:55] このデータ
[70:55 - 70:56] つまり
[70:56 - 70:57] ローンチの
[70:57 - 70:58] うまくいってる人の
[70:58 - 70:59] データが
[70:59 - 71:00] めちゃくちゃ大事な
[71:01 - 71:02] 今まで
[71:02 - 71:03] 今
[71:03 - 71:04] ストーリーの運用の中で
[71:05 - 71:06] 一番大事なのは
[71:06 - 71:07] 誰が当たってるかを
[71:07 - 71:08] 知るのと
[71:08 - 71:09] それが
[71:09 - 71:10] そのデータがあること
[71:10 - 71:11] だと思ってて
[71:11 - 71:12] AIの使い方
[71:12 - 71:13] 多分皆さんやられてる
[71:13 - 71:14] と思うので
[71:14 - 71:15] 分かると思うんですけど
[71:15 - 71:16] その
[71:16 - 71:17] 当たってる方を
[71:17 - 71:18] インプットさせて
[71:18 - 71:19] それを
[71:19 - 71:20] 固かして
[71:20 - 71:21] そこに
[71:21 - 71:22] 自分の情報を
[71:22 - 71:23] 当てはめれば
[71:23 - 71:24] ローンチって
[71:24 - 71:25] いう風になるので
[71:25 - 71:26] 絶対にデータを
[71:26 - 71:28] ゲットしなきゃいけない
[71:28 - 71:29] 逆に言うと
[71:29 - 71:30] データをゲットできれば
[71:30 - 71:31] 誰でもローンチが
[71:31 - 71:32] すぐ作れる
[71:32 - 71:33] っていう風に
[71:33 - 71:34] 思うので
[71:34 - 71:35] なんかそういう感じで
[71:35 - 71:36] 誰が
[71:36 - 71:37] 当たってるのかとか
[71:37 - 71:39] っていうデータ
[71:39 - 71:40] 思っておいて
[71:40 - 71:41] それを
[71:41 - 71:42] AIに加わせるみたいな
[71:42 - 71:43] ことを
[71:43 - 71:44] ちょっとやっていければ
[71:44 - 71:45] いいかなという風に
[71:45 - 71:46] 思ってます
[71:47 - 71:48] で
[71:49 - 71:50] このツール多分
[71:50 - 71:52] 誰も見たことないと思うんですけど
[71:52 - 71:53] もしインスタ
[71:53 - 71:54] これからガチで
[71:54 - 71:55] やっていきたいなとか
[71:56 - 71:57] もっと
[71:57 - 71:58] データを集めて
[71:58 - 71:59] 今日の話聞いて
[71:59 - 72:01] これからAI使ってくるんですけど
[72:01 - 72:02] AIの話聞いて
[72:02 - 72:03] なんか使っていきたいな
[72:03 - 72:04] みたいな方がいれば
[72:04 - 72:05] 僕と
[72:05 - 72:06] 知り合いで
[72:06 - 72:07] 共同開発した
[72:07 - 72:08] このツールがあって
[72:12 - 72:13] 30人登録したら
[72:13 - 72:14] その人の
[72:14 - 72:15] ローンチ
[72:15 - 72:16] ストーリーローンチ
[72:16 - 72:17] 全部記録してくれるっていう
[72:17 - 72:19] 結構やばめなツールを作って
[72:20 - 72:21] これ一括ダウンロードして
[72:21 - 72:22] そのデータを
[72:22 - 72:23] AIにぶち込んだら
[72:24 - 72:25] その人に似た構成の
[72:26 - 72:27] ローンチが作れちゃう
[72:27 - 72:29] みたいなツールになっているので
[72:29 - 72:30] なんかもし
[72:30 - 72:31] 興味ある方いたら
[72:31 - 72:33] 知り合い図定でしか
[72:33 - 72:34] 変えないツールになるので
[72:34 - 72:35] パブリックに出してないので
[72:36 - 72:37] もし言ったら
[72:37 - 72:38] ぜひ声書けていただければな
[72:38 - 72:39] というところで
[72:39 - 72:40] じゃあこれを使って
[72:41 - 72:42] 今日は
[72:43 - 72:45] 皆さんでちょっとワークというか
[72:45 - 72:46] やっていきたいなという風に
[72:46 - 72:47] 思ってますと
[72:49 - 72:50] これを送っていて
[72:50 - 72:51] これを送っていただいても
[72:51 - 72:52] いいですか
[72:52 - 72:53] はやしさんありがとうございます
[72:57 - 72:58] ということで
[72:58 - 72:59] ちょっと開いていただいて
[73:16 - 73:17] 一旦ちょっとこっちの
[73:17 - 73:18] 画面教えのほうを
[73:18 - 73:19] 見ていただければなという
[73:19 - 73:20] 風に思うんですけど
[73:21 - 73:22] ここにまず
[73:22 - 73:23] テンポインスターストーリー
[73:24 - 73:25] という風に書いてあるほう
[73:26 - 73:27] がテンポインスターの
[73:30 - 73:32] テンプレートみたいな感じで
[73:33 - 73:34] 普段僕らが使ってる
[73:34 - 73:35] テンプレートになりますと
[73:36 - 73:37] なので
[73:37 - 73:38] この要素を
[73:38 - 73:39] とりあえず
[73:39 - 73:40] 三日に一回
[73:41 - 73:42] 気分であげてくれるスタッフがいれば
[73:43 - 73:44] とりあえず
[73:44 - 73:45] 俺は防げる
[73:45 - 73:46] じゃないかなという風に
[73:46 - 73:47] 思いますと
[73:47 - 73:48] もちろんもっと狙うんだったら
[73:49 - 73:50] なんだろう
[73:50 - 73:51] 今回のこのローンチみたいな感じで
[73:52 - 73:53] 分解して
[73:53 - 73:54] 要素を立てて
[73:54 - 73:55] 企画出しして
[73:55 - 73:56] なんだろう
[73:57 - 73:58] 新商品ローンチ
[73:58 - 73:59] とかで
[73:59 - 74:00] このやり方を
[74:01 - 74:02] 無形のこのやり方を
[74:02 - 74:03] 使っていただく
[74:03 - 74:04] というのができると思うんですけど
[74:05 - 74:06] テンポに関しては基本的には
[74:06 - 74:07] なんか定常的な
[74:07 - 74:08] やつを
[74:08 - 74:09] 更新しまくる
